title,impact,time,country
"KOF Economic Barometer","Medium",2015-02-27T08:00:00Z,"CHF"
"Chicago PMI","Medium",2015-02-27T14:45:00Z,"USD"
"Non-Manufacturing PMI","Medium",2015-03-01T01:00:00Z,"CNY"
"Bank Holiday","Holiday",2015-02-23T12:00:00Z,"CNY"
"SPPI y/y","Low",2015-02-23T23:50:00Z,"JPY"
"Final Core CPI y/y","Low",2015-02-24T10:00:00Z,"EUR"
"ECB President Draghi Speaks","High",2015-02-24T14:00:00Z,"EUR"
"Fed Chair Yellen Testifies","High",2015-02-24T15:00:00Z,"USD"
"UBS Consumption Indicator","Low",2015-02-25T07:00:00Z,"CHF"
"ECB President Draghi Speaks","High",2015-02-25T16:30:00Z,"EUR"
"GfK German Consumer Climate","Medium",2015-02-26T07:00:00Z,"EUR"
"Index of Services 3m/3m","Low",2015-02-26T09:30:00Z,"GBP"
"Unemployment Claims","High",2015-02-26T13:30:00Z,"USD"
"CPI m/m","Medium",2015-02-26T13:30:00Z,"CAD"
"Building Consents m/m","Medium",2015-02-26T21:45:00Z,"NZD"
"Retail Sales y/y","Medium",2015-02-26T23:50:00Z,"JPY"
"Housing Starts y/y","Low",2015-02-27T05:00:00Z,"JPY"
"Spanish Flash CPI y/y","Medium",2015-02-27T08:00:00Z,"EUR"
"Revised UoM Consumer Sentiment","Medium",2015-02-27T15:00:00Z,"USD"
"Credit Card Spending y/y","Low",2015-02-23T02:00:00Z,"NZD"
"Bank Holiday","Holiday",2015-02-24T12:00:00Z,"CNY"
"Final CPI y/y","Medium",2015-02-24T10:00:00Z,"EUR"
"Flash Services PMI","Low",2015-02-24T14:45:00Z,"USD"
"BOC Gov Poloz Speaks","High",2015-02-24T19:00:00Z,"CAD"
"BBA Mortgage Approvals","Medium",2015-02-25T09:30:00Z,"GBP"
"Visitor Arrivals m/m","Low",2015-02-25T21:45:00Z,"NZD"
"German Unemployment Change","Medium",2015-02-26T08:55:00Z,"EUR"
"Second Estimate GDP q/q","High",2015-02-26T09:30:00Z,"GBP"
"Durable Goods Orders m/m","Low",2015-02-26T13:30:00Z,"USD"
"Core CPI m/m","High",2015-02-26T13:30:00Z,"CAD"
"Household Spending y/y","Medium",2015-02-26T23:30:00Z,"JPY"
"Prelim Industrial Production m/m","Medium",2015-02-26T23:50:00Z,"JPY"
"German Import Prices m/m","Low",2015-02-27T07:00:00Z,"EUR"
"Italian Prelim CPI m/m","Low",2015-02-27T10:00:00Z,"EUR"
"Revised UoM Inflation Expectations","Low",2015-02-27T15:00:00Z,"USD"
"German Ifo Business Climate","High",2015-02-23T09:00:00Z,"EUR"
"Inflation Expectations q/q","Medium",2015-02-24T02:00:00Z,"NZD"
"Corporate Profits q/q","Low",2015-02-24T13:30:00Z,"CAD"
"CB Consumer Confidence","High",2015-02-24T15:00:00Z,"USD"
"Construction Work Done q/q","Medium",2015-02-25T12:30:00Z,"AUD"
"New Home Sales","High",2015-02-25T15:00:00Z,"USD"
"Trade Balance","High",2015-02-25T21:45:00Z,"NZD"
"Italian Retail Sales m/m","Low",2015-02-26T09:00:00Z,"EUR"
"Prelim Business Investment q/q","Medium",2015-02-26T09:30:00Z,"GBP"
"Core Durable Goods Orders m/m","Medium",2015-02-26T13:30:00Z,"USD"
"HPI m/m","Low",2015-02-26T14:00:00Z,"USD"
"Unemployment Rate","Low",2015-02-26T23:30:00Z,"JPY"
"ANZ Business Confidence","High",2015-02-27T12:00:00Z,"NZD"
"German Prelim CPI m/m","High",2015-02-27T07:29:00Z,"EUR"
"Prelim GDP q/q","High",2015-02-27T13:30:00Z,"USD"
"Pending Home Sales m/m","Medium",2015-02-27T15:00:00Z,"USD"
"CBI Realized Sales","Medium",2015-02-23T11:00:00Z,"GBP"
"German Final GDP q/q","Low",2015-02-24T07:00:00Z,"EUR"
"S&P/CS Composite-20 HPI y/y","Low",2015-02-24T14:00:00Z,"USD"
"Richmond Manufacturing Index","Low",2015-02-24T15:00:00Z,"USD"
"Wage Price Index q/q","Medium",2015-02-25T12:30:00Z,"AUD"
"Fed Chair Yellen Testifies","High",2015-02-25T15:00:00Z,"USD"
"Private Capital Expenditure q/q","High",2015-02-26T12:30:00Z,"AUD"
"M3 Money Supply y/y","Medium",2015-02-26T09:00:00Z,"EUR"
"Italian 10-y Bond Auction","Medium",2015-02-26T10:03:00Z,"EUR"
"Core CPI m/m","High",2015-02-26T13:30:00Z,"USD"
"Natural Gas Storage","Low",2015-02-26T15:30:00Z,"USD"
"National Core CPI y/y","Low",2015-02-26T23:30:00Z,"JPY"
"GfK Consumer Confidence","Low",2015-02-27T12:05:00Z,"GBP"
"French Consumer Spending m/m","Medium",2015-02-27T07:45:00Z,"EUR"
"Prelim GDP Price Index q/q","Low",2015-02-27T13:30:00Z,"USD"
"Manufacturing PMI","High",2015-03-01T01:00:00Z,"CNY"
