title,impact,time,country
"Final Services PMI","Low",2015-02-04T09:00:00Z,"EUR"
"ISM Non-Manufacturing PMI","High",2015-02-04T15:00:00Z,"USD"
"Retail Sales m/m","High",2015-02-05T12:30:00Z,"AUD"
"French 10-y Bond Auction","Low",2015-02-05T10:03:00Z,"EUR"
"Unemployment Claims","High",2015-02-05T13:30:00Z,"USD"
"Natural Gas Storage","Low",2015-02-05T15:30:00Z,"USD"
"German Industrial Production m/m","Low",2015-02-06T07:00:00Z,"EUR"
"Trade Balance","Medium",2015-02-06T09:30:00Z,"GBP"
"Employment Change","High",2015-02-06T13:30:00Z,"CAD"
"AIG Manufacturing Index","Low",2015-02-01T22:30:00Z,"AUD"
"Spanish Unemployment Change","High",2015-02-02T08:00:00Z,"EUR"
"Manufacturing PMI","High",2015-02-02T09:30:00Z,"GBP"
"Construction Spending m/m","Low",2015-02-02T15:00:00Z,"USD"
"Trade Balance","High",2015-02-03T12:30:00Z,"AUD"
"Trade Balance","Medium",2015-02-03T07:00:00Z,"CHF"
"RMPI m/m","Medium",2015-02-03T13:30:00Z,"CAD"
"Labor Cost Index q/q","Low",2015-02-03T21:45:00Z,"NZD"
"BRC Shop Price Index y/y","Low",2015-02-04T12:01:00Z,"GBP"
"Italian Services PMI","Medium",2015-02-04T08:45:00Z,"EUR"
"Final Services PMI","Low",2015-02-04T14:45:00Z,"USD"
"NAB Quarterly Business Confidence","Medium",2015-02-05T12:30:00Z,"AUD"
"Retail PMI","Low",2015-02-05T09:10:00Z,"EUR"
"Challenger Job Cuts y/y","Low",2015-02-05T12:30:00Z,"USD"
"Prelim Unit Labor Costs q/q","Medium",2015-02-05T13:30:00Z,"USD"
"Leading Indicators","Low",2015-02-06T05:00:00Z,"JPY"
"Retail Sales y/y","Medium",2015-02-06T08:15:00Z,"CHF"
"Building Permits m/m","High",2015-02-06T13:30:00Z,"CAD"
"Final Manufacturing PMI","Low",2015-02-02T01:35:00Z,"JPY"
"Manufacturing PMI","Low",2015-02-02T08:30:00Z,"CHF"
"Personal Income m/m","Low",2015-02-02T13:30:00Z,"USD"
"ISM Manufacturing Prices","Low",2015-02-02T15:00:00Z,"USD"
"Cash Rate","High",2015-02-03T03:30:00Z,"AUD"
"Italian Prelim CPI m/m","Low",2015-02-03T10:00:00Z,"EUR"
"Factory Orders m/m","Medium",2015-02-03T15:00:00Z,"USD"
"Employment Change q/q","High",2015-02-03T21:45:00Z,"NZD"
"HSBC Services PMI","Medium",2015-02-04T01:45:00Z,"CNY"
"Services PMI","High",2015-02-04T09:30:00Z,"GBP"
"Ivey PMI","High",2015-02-04T15:00:00Z,"CAD"
"30-y Bond Auction","Low",2015-02-05T03:45:00Z,"JPY"
"Asset Purchase Facility","Medium",2015-02-05T12:00:00Z,"GBP"
"Trade Balance","High",2015-02-05T13:30:00Z,"USD"
"Bank Holiday","Holiday",2015-02-05T20:00:00Z,"NZD"
"French Gov Budget Balance","Low",2015-02-06T07:45:00Z,"EUR"
"Average Hourly Earnings m/m","Medium",2015-02-06T13:30:00Z,"USD"
"Unemployment Rate","High",2015-02-06T13:30:00Z,"CAD"
"Commodity Prices y/y","Low",2015-02-02T05:30:00Z,"AUD"
"Final Manufacturing PMI","Low",2015-02-02T09:00:00Z,"EUR"
"Final Manufacturing PMI","Low",2015-02-02T14:45:00Z,"USD"
"ANZ Commodity Prices m/m","Low",2015-02-03T12:00:00Z,"NZD"
"10-y Bond Auction","Low",2015-02-03T03:45:00Z,"JPY"
"IPPI m/m","Low",2015-02-03T13:30:00Z,"CAD"
"Total Vehicle Sales","Low",2015-02-03T16:15:00Z,"USD"
"RBNZ Gov Wheeler Speaks","High",2015-02-03T23:00:00Z,"NZD"
"Spanish Services PMI","Medium",2015-02-04T08:15:00Z,"EUR"
"ADP Non-Farm Employment Change","High",2015-02-04T13:15:00Z,"USD"
"HIA New Home Sales m/m","Low",2015-02-05T12:00:00Z,"AUD"
"German Factory Orders m/m","Medium",2015-02-05T07:00:00Z,"EUR"
"MPC Rate Statement","High",2015-02-05T12:03:00Z,"GBP"
"Prelim Nonfarm Productivity q/q","Medium",2015-02-05T13:30:00Z,"USD"
"RBA Monetary Policy Statement","High",2015-02-06T12:30:00Z,"AUD"
"Foreign Currency Reserves","Medium",2015-02-06T08:00:00Z,"CHF"
"Non-Farm Employment Change","High",2015-02-06T13:30:00Z,"USD"
"Consumer Credit m/m","Low",2015-02-06T20:00:00Z,"USD"
"HSBC Final Manufacturing PMI","High",2015-02-02T01:45:00Z,"CNY"
"Italian Manufacturing PMI","Medium",2015-02-02T08:45:00Z,"EUR"
"Personal Spending m/m","Medium",2015-02-02T13:30:00Z,"USD"
"Monetary Base y/y","Low",2015-02-02T23:50:00Z,"JPY"
"RBA Rate Statement","High",2015-02-03T03:30:00Z,"AUD"
"PPI m/m","Low",2015-02-03T10:00:00Z,"EUR"
"IBD/TIPP Economic Optimism","Low",2015-02-03T15:00:00Z,"USD"
"AIG Services Index","Low",2015-02-03T22:30:00Z,"AUD"
